Scheme Name	Net Asset Value
PGIM India Banking and PSU Debt fund -Growth	21.2082
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus	13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus	15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend	11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend	10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend	10.6848
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend	10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth	22.2318
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1259.8248
SBI BANKING & PSU FUND - Direct Plan - Growth	2860.1647
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1222.3466
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1257.0249
SBI BANKING & PSU FUND - Regular Paln - Growth	2713.7745
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1238.0997
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1161.6089
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1237.8377
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.8859
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.7516
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5455
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.8188
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	37.3188
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5980
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1060
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.6321
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5027
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.7487
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.7487
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.5023
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.5023
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.7487
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.5023
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1123.5217
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1109.1291
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1052.0778
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1126.8654
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1041.9005
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1057.0917
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1033.8072
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1038.0323
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1111.693
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1033.3494
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1044.1476
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1027.8713
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.32
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.6484
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.3198
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.8202
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.6913
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.3795
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.1659
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.7982
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW	12.7448
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	12.5554
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW	13.0968
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	19.0847
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	98.7781
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	97.4518
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	11.251
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.4783
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.6789
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.3315
Aditya Birla Sun Life Income Fund-Plan A(Dividend)	11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	35.0763
Axis Corporate Debt Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW	10.2064
Axis Corporate Debt Fund - Direct Plan - Regular IDCW	13.1303
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW	10.3709
Axis Corporate Debt Fund - Direct Plan Growth	15.4732
Axis Corporate Debt Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW	10.2027
Axis Corporate Debt Fund - Regular Plan - Regular IDCW	12.4740
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW	10.2525
Axis Corporate Debt Fund - Regular Plan Growth	14.7805
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.4697
BANDHAN Corporate Bond Fund - Direct Growth	17.1193
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.7063
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3945
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	11.3577
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.4860
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.4530
BANDHAN Corporate Bond Fund - Regular Growth	16.7218
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0854
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6466
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	11.2727
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.5267
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	10.6076
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	27.4170
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.1411
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.2538
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	10.7855
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	25.0212
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.2317
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.4265
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.5438
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	23.6898
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.1736
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.2646
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	20.2271
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.2439
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	19.1034
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5663
DSP Corporate Bond Fund - Direct - Growth	14.0831
DSP Corporate Bond Fund - Direct - IDCW	11.4991
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.4312
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.2332
DSP Corporate Bond Fund - Regular - Growth	13.9074
DSP Corporate Bond Fund - Regular - IDCW	11.4670
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.4126
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.5944
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	92.0202
Franklin India Corporate Debt Fund - Growth	85.8362
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.6061
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	18.5974
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9102
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.5402
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.6280
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.9980
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	14.8243
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1309
HDFC Corporate Bond Fund - Growth Option	28.1197
HDFC Corporate Bond Fund - Growth Option - Direct Plan	28.6059
HDFC Corporate Bond Fund - IDCW Option	18.2167
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	18.7213
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4074
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.2464
HSBC Corporate Bond Fund - Direct Annual IDCW	12.0623
HSBC Corporate Bond Fund - Direct Growth	67.0235
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.4429
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.309
HSBC Corporate Bond Fund - Regular Annual IDCW	11.873
HSBC Corporate Bond Fund - Regular Growth	63.3131
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.0871
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.1277
HSBC Corporate Bond Fund -Regular Plan - Bonus	24.0498
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	26.9686
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2879
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.1789
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	25.8523
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4418
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	10.9794
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1700.1759
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1259.0799
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	2930.5676
Invesco India Corporate Bond Fund - Direct Plan - Growth	2929.6403
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1262.0628
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1187.4971
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	2889.982
Invesco India Corporate Bond Fund - Growth	2752.8944
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1577.8678
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1153.601
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3385.2099
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1075.7487
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3261.945
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1062.6159
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	11.2375
Mirae Asset Corporate Bond Fund Direct IDCW	11.2359
Mirae Asset Corporate Bond Fund Regular Growth	11.1157
Mirae Asset Corporate Bond Fund Regular IDCW	11.1155
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	17.0875
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.6797
